fast_ema,rsi_entry_min,rsi_entry_max,initial_sl_atr,trail_tier1_trigger,trail_tier1_distance,trail_tier2_trigger,trail_tier2_distance,time_stop_bars,0
8,45,70,2.0,2.0,1.5,5.0,2.5,48,0.0
8,45,70,2.0,3.0,1.5,6.0,3.0,48,0.0
8,45,70,2.0,3.0,2.5,6.0,4.0,48,0.0
8,45,70,2.0,3.0,2.5,8.0,4.0,96,151.50079786935896
8,45,70,2.0,4.0,1.5,5.0,2.5,48,0.0
8,45,70,2.0,4.0,1.5,5.0,3.0,72,0.0
8,45,70,2.0,4.0,1.5,8.0,2.5,96,110.48848645725997
8,45,70,2.0,4.0,1.5,8.0,4.0,72,0.0
8,45,70,2.0,4.0,2.0,5.0,2.5,48,0.0
8,45,70,2.0,4.0,2.0,6.0,2.5,96,135.7919676357274
8,45,70,2.0,4.0,2.5,8.0,3.0,96,0.0
8,45,70,2.5,3.0,1.5,8.0,2.5,48,155.81190536784456
8,45,70,2.5,3.0,2.0,5.0,3.0,48,0.0
8,45,70,2.5,4.0,2.0,5.0,4.0,72,848.5603827742806
8,45,70,2.5,4.0,2.0,5.0,4.0,96,1143.126802411786
8,45,70,3.0,2.0,2.5,8.0,3.0,48,0.0
8,45,70,3.0,3.0,2.0,5.0,3.0,72,237.19515470064164
8,45,70,3.0,4.0,1.5,8.0,4.0,48,0.0
8,45,75,2.0,3.0,2.5,6.0,3.0,96,146.34710816254542
8,45,75,2.0,3.0,2.5,8.0,4.0,96,162.70752442557637
8,45,75,2.0,4.0,1.5,6.0,3.0,96,123.92707797327992
8,45,75,2.5,2.0,2.0,5.0,4.0,72,1495.0384106514
8,45,75,2.5,3.0,1.5,5.0,2.5,96,542.535575641881
8,45,75,2.5,3.0,1.5,6.0,4.0,72,220.69541854766362
8,45,75,2.5,3.0,2.0,6.0,4.0,96,1827.4317378838439
8,45,75,2.5,4.0,2.5,5.0,3.0,72,0.0
8,45,75,2.5,4.0,2.5,8.0,3.0,72,0.0
8,45,75,3.0,3.0,1.5,5.0,4.0,96,1641.2696417204388
8,45,75,3.0,3.0,2.5,5.0,3.0,96,166.14673547335946
8,45,75,3.0,4.0,2.0,5.0,4.0,96,1186.4365985585944
8,45,80,2.0,2.0,1.5,6.0,3.0,96,0.0
8,45,80,2.0,3.0,2.0,5.0,2.5,48,0.0
8,45,80,2.0,3.0,2.0,5.0,3.0,48,0.0
8,45,80,2.0,4.0,1.5,8.0,2.5,96,0.0
8,45,80,2.0,4.0,2.5,8.0,3.0,96,0.0
8,45,80,2.5,4.0,1.5,5.0,4.0,48,0.0
8,45,80,3.0,2.0,1.5,6.0,3.0,48,0.0
8,45,80,3.0,2.0,1.5,6.0,4.0,96,0.0
8,45,80,3.0,2.0,2.0,6.0,4.0,96,786.5713052217264
8,45,80,3.0,3.0,1.5,5.0,4.0,96,1838.1657722802875
8,45,80,3.0,4.0,1.5,5.0,3.0,96,287.2135677172792
8,45,80,3.0,4.0,1.5,8.0,3.0,48,0.0
8,45,80,3.0,4.0,2.0,8.0,2.5,96,259.4560803563155
8,50,70,2.0,2.0,2.0,8.0,3.0,48,0.0
8,50,70,2.0,3.0,1.5,8.0,2.5,48,0.0
8,50,70,2.0,4.0,2.5,6.0,4.0,72,1247.6050658729991
8,50,70,2.5,2.0,1.5,5.0,3.0,96,187.7841648916507
8,50,70,2.5,2.0,1.5,6.0,2.5,48,0.0
8,50,70,2.5,2.0,2.0,5.0,4.0,48,0.0
8,50,70,2.5,2.0,2.5,6.0,3.0,96,0.0
8,50,70,2.5,4.0,2.5,6.0,3.0,48,0.0
8,50,70,2.5,4.0,2.5,8.0,3.0,96,160.20130445872655
8,50,70,3.0,2.0,1.5,5.0,4.0,96,1355.2332586419027
8,50,70,3.0,2.0,2.0,6.0,2.5,72,172.9628863039378
8,50,70,3.0,3.0,1.5,5.0,4.0,48,0.0
8,50,70,3.0,3.0,1.5,6.0,2.5,72,191.346203785267
8,50,70,3.0,3.0,2.0,8.0,3.0,48,0.0
8,50,70,3.0,3.0,2.5,5.0,4.0,48,0.0
8,50,70,3.0,3.0,2.5,5.0,4.0,72,1047.285260056756
8,50,70,3.0,4.0,1.5,8.0,2.5,72,146.37583345004762
8,50,70,3.0,4.0,2.0,6.0,4.0,48,0.0
8,50,70,3.0,4.0,2.5,5.0,3.0,96,132.57767812004064
8,50,70,3.0,4.0,2.5,5.0,4.0,96,1277.3412852666947
8,50,70,3.0,4.0,2.5,8.0,4.0,72,0.0
8,50,75,2.0,2.0,2.0,5.0,3.0,48,0.0
8,50,75,2.0,2.0,2.5,8.0,3.0,72,0.0
8,50,75,2.0,3.0,1.5,5.0,4.0,48,0.0
8,50,75,2.0,4.0,1.5,8.0,4.0,72,160.28351602037634
8,50,75,2.0,4.0,2.5,8.0,3.0,96,171.12348904312543
8,50,75,2.5,2.0,1.5,5.0,3.0,96,195.26449755130483
8,50,75,2.5,2.0,2.0,5.0,3.0,72,209.69295405342123
8,50,75,2.5,4.0,1.5,5.0,2.5,96,264.67204865615247
8,50,75,2.5,4.0,1.5,6.0,2.5,96,264.22657613551775
8,50,75,2.5,4.0,2.0,6.0,3.0,96,274.0865912974558
8,50,75,2.5,4.0,2.5,8.0,4.0,72,130.07404650679882
8,50,75,3.0,3.0,2.5,6.0,3.0,72,0.0
8,50,75,3.0,4.0,2.0,5.0,3.0,96,185.48202814665956
8,50,80,2.0,2.0,2.0,5.0,2.5,72,0.0
8,50,80,2.0,2.0,2.5,5.0,3.0,48,0.0
8,50,80,2.0,3.0,1.5,6.0,4.0,96,0.0
8,50,80,2.0,3.0,2.5,6.0,4.0,48,0.0
8,50,80,2.0,4.0,1.5,5.0,3.0,96,0.0
8,50,80,2.0,4.0,2.0,5.0,2.5,48,0.0
8,50,80,2.5,2.0,1.5,6.0,2.5,72,223.7141123100345
8,50,80,2.5,2.0,2.0,6.0,3.0,96,0.0
8,50,80,2.5,2.0,2.0,8.0,2.5,48,0.0
8,50,80,2.5,3.0,1.5,6.0,4.0,48,0.0
8,50,80,2.5,3.0,2.0,8.0,2.5,96,277.8888617692569
8,50,80,2.5,4.0,1.5,5.0,3.0,72,0.0
8,50,80,2.5,4.0,2.0,8.0,4.0,72,0.0
8,50,80,3.0,2.0,2.0,8.0,4.0,48,0.0
8,50,80,3.0,3.0,1.5,6.0,3.0,96,264.1556599158509
8,50,80,3.0,4.0,2.5,6.0,3.0,96,289.1698454182731
8,50,80,3.0,4.0,2.5,6.0,4.0,96,1468.299714295407
8,55,70,2.0,2.0,2.5,8.0,4.0,96,0.0
8,55,70,2.0,3.0,2.5,8.0,3.0,72,0.0
8,55,70,2.0,4.0,1.5,8.0,2.5,96,163.66674981494074
8,55,70,2.5,2.0,1.5,8.0,3.0,96,260.32886983127395
8,55,70,2.5,3.0,2.0,5.0,3.0,48,0.0
8,55,70,2.5,3.0,2.0,5.0,3.0,72,0.0
8,55,70,2.5,3.0,2.0,6.0,2.5,48,0.0
8,55,70,2.5,3.0,2.0,8.0,2.5,96,212.1645058477528
8,55,70,2.5,3.0,2.5,5.0,4.0,96,1140.3256737030044
8,55,70,2.5,4.0,2.0,6.0,2.5,96,156.10948154158237
8,55,70,3.0,2.0,1.5,8.0,2.5,48,0.0
8,55,70,3.0,3.0,2.0,8.0,3.0,48,0.0
8,55,70,3.0,3.0,2.5,6.0,4.0,48,0.0
8,55,70,3.0,4.0,1.5,6.0,4.0,72,0.0
8,55,70,3.0,4.0,2.0,5.0,2.5,96,185.62622506883582
8,55,70,3.0,4.0,2.0,8.0,2.5,72,0.0
8,55,75,2.0,2.0,1.5,8.0,3.0,96,200.47950130055895
8,55,75,2.0,2.0,2.0,6.0,2.5,72,232.19304262197684
8,55,75,2.0,2.0,2.5,8.0,4.0,48,0.0
8,55,75,2.0,3.0,1.5,8.0,3.0,48,0.0
8,55,75,2.0,3.0,2.0,5.0,3.0,96,125.62198877474783
8,55,75,2.0,4.0,2.0,5.0,2.5,96,130.08498344416407
8,55,75,2.0,4.0,2.5,5.0,4.0,72,625.712440540859
8,55,75,2.5,2.0,2.5,6.0,4.0,48,182.37672739982855
8,55,75,2.5,3.0,2.0,5.0,3.0,96,268.6229360301633
8,55,75,2.5,3.0,2.0,8.0,4.0,48,143.33565754531884
8,55,75,2.5,3.0,2.5,8.0,4.0,96,302.1389225868076
8,55,75,2.5,4.0,1.5,5.0,4.0,48,128.4780967385761
8,55,75,2.5,4.0,1.5,8.0,3.0,96,261.47618912040184
8,55,75,2.5,4.0,2.0,6.0,2.5,48,0.0
8,55,75,2.5,4.0,2.0,6.0,4.0,72,1099.6210286048843
8,55,75,3.0,2.0,1.5,5.0,2.5,72,263.82216421400443
8,55,75,3.0,2.0,2.5,6.0,3.0,96,205.61485656493295
8,55,75,3.0,3.0,1.5,6.0,3.0,48,0.0
8,55,75,3.0,4.0,1.5,8.0,3.0,72,195.39293415640927
8,55,75,3.0,4.0,2.0,8.0,3.0,72,0.0
8,55,80,2.0,2.0,2.0,5.0,2.5,48,0.0
8,55,80,2.0,2.0,2.0,6.0,4.0,96,434.92184333548624
8,55,80,2.0,3.0,2.0,5.0,3.0,72,0.0
8,55,80,2.0,3.0,2.0,5.0,4.0,72,439.73117377456134
8,55,80,2.0,3.0,2.0,6.0,2.5,48,0.0
8,55,80,2.0,3.0,2.0,6.0,3.0,48,0.0
8,55,80,2.0,3.0,2.5,5.0,4.0,72,0.0
8,55,80,2.0,3.0,2.5,8.0,4.0,48,0.0
8,55,80,2.0,4.0,1.5,8.0,3.0,96,0.0
8,55,80,2.0,4.0,2.0,8.0,2.5,72,0.0
8,55,80,2.5,2.0,1.5,8.0,2.5,96,187.15202203722947
8,55,80,2.5,2.0,1.5,8.0,3.0,48,0.0
8,55,80,2.5,2.0,2.0,8.0,2.5,48,0.0
8,55,80,2.5,2.0,2.5,6.0,3.0,48,0.0
8,55,80,2.5,3.0,2.0,6.0,3.0,96,285.71116650111486
8,55,80,2.5,3.0,2.5,5.0,3.0,96,261.2686346145811
8,55,80,2.5,3.0,2.5,6.0,3.0,48,0.0
8,55,80,2.5,3.0,2.5,8.0,4.0,48,0.0
8,55,80,2.5,4.0,1.5,5.0,3.0,72,0.0
8,55,80,2.5,4.0,1.5,5.0,4.0,72,523.5085059030953
8,55,80,2.5,4.0,2.5,5.0,3.0,48,0.0
8,55,80,2.5,4.0,2.5,6.0,3.0,72,0.0
8,55,80,2.5,4.0,2.5,8.0,4.0,96,339.125265004567
8,55,80,3.0,2.0,1.5,5.0,2.5,96,224.3682409770587
8,55,80,3.0,3.0,2.0,8.0,2.5,96,262.8411235542392
8,55,80,3.0,4.0,2.5,8.0,3.0,72,0.0
10,45,70,2.0,2.0,2.0,8.0,3.0,96,0.0
10,45,70,2.0,3.0,1.5,6.0,4.0,72,120.52719355139298
10,45,70,2.0,3.0,2.0,5.0,3.0,72,115.47199585879093
10,45,70,2.0,4.0,2.0,5.0,4.0,96,1090.3301390249164
10,45,70,2.0,4.0,2.5,8.0,4.0,72,0.0
10,45,70,2.5,3.0,1.5,5.0,4.0,48,228.39457417073788
10,45,70,2.5,3.0,1.5,6.0,4.0,96,231.11807606147792
10,45,70,2.5,3.0,2.0,5.0,4.0,48,152.63560382473082
10,45,70,2.5,4.0,1.5,8.0,4.0,72,0.0
10,45,70,3.0,2.0,1.5,8.0,2.5,96,240.48165578736257
10,45,70,3.0,2.0,2.5,5.0,3.0,48,0.0
10,45,70,3.0,2.0,2.5,8.0,4.0,48,0.0
10,45,70,3.0,3.0,2.0,5.0,3.0,96,241.0934083900763
10,45,70,3.0,3.0,2.5,5.0,4.0,96,1151.5316280703794
10,45,70,3.0,3.0,2.5,8.0,4.0,48,0.0
10,45,70,3.0,4.0,2.0,6.0,2.5,96,229.80181696378358
10,45,70,3.0,4.0,2.0,8.0,2.5,48,0.0
10,45,70,3.0,4.0,2.5,6.0,4.0,96,1131.765421507953
10,45,75,2.0,2.0,1.5,8.0,3.0,96,198.91431309758943
10,45,75,2.0,2.0,2.0,6.0,4.0,72,900.2697474236123
10,45,75,2.0,2.0,2.5,5.0,4.0,96,579.7809747107447
10,45,75,2.0,3.0,2.0,6.0,3.0,72,205.22416495751747
10,45,75,2.0,3.0,2.5,8.0,3.0,72,124.53042137654315
10,45,75,2.0,3.0,2.5,8.0,4.0,96,120.39907323405974
10,45,75,2.0,4.0,1.5,6.0,4.0,96,0.0
10,45,75,2.0,4.0,2.5,6.0,4.0,48,0.0
10,45,75,2.5,2.0,1.5,5.0,4.0,48,243.42415384877813
10,45,75,2.5,2.0,1.5,6.0,2.5,72,257.00946862578513
10,45,75,2.5,2.0,2.0,8.0,2.5,96,209.24270583456857
10,45,75,2.5,2.0,2.0,8.0,4.0,48,209.69211387901035
10,45,75,2.5,3.0,1.5,8.0,4.0,96,362.79488792457875
10,45,75,2.5,4.0,1.5,8.0,3.0,96,202.62149642705913
10,45,75,3.0,3.0,1.5,5.0,2.5,72,238.3656972942864
10,45,75,3.0,4.0,1.5,5.0,3.0,72,115.28886174515637
10,45,75,3.0,4.0,1.5,8.0,2.5,96,177.87875460138653
10,45,75,3.0,4.0,2.0,8.0,4.0,72,0.0
10,45,80,2.0,2.0,2.0,6.0,3.0,72,0.0
10,45,80,2.0,3.0,1.5,8.0,2.5,96,0.0
10,45,80,2.0,4.0,2.0,6.0,2.5,48,0.0
10,45,80,2.5,3.0,2.0,5.0,2.5,72,230.74457348272264
10,45,80,2.5,3.0,2.0,6.0,3.0,48,0.0
10,45,80,2.5,3.0,2.5,8.0,3.0,72,0.0
10,45,80,2.5,3.0,2.5,8.0,4.0,72,0.0
10,45,80,3.0,2.0,2.5,6.0,3.0,72,0.0
10,45,80,3.0,2.0,2.5,6.0,4.0,96,474.9363672843601
10,45,80,3.0,3.0,1.5,8.0,2.5,48,0.0
10,45,80,3.0,3.0,1.5,8.0,4.0,48,0.0
10,45,80,3.0,3.0,2.0,8.0,3.0,48,0.0
10,45,80,3.0,3.0,2.5,8.0,3.0,96,239.94283519989426
10,45,80,3.0,3.0,2.5,8.0,4.0,72,0.0
10,45,80,3.0,4.0,1.5,6.0,2.5,96,217.89452082664158
10,45,80,3.0,4.0,1.5,6.0,4.0,48,0.0
10,45,80,3.0,4.0,2.0,5.0,4.0,96,1061.9238358330394
10,50,70,2.0,2.0,1.5,5.0,4.0,96,1562.700146723766
10,50,70,2.0,2.0,2.0,5.0,3.0,72,149.04670320477535
10,50,70,2.0,2.0,2.5,6.0,3.0,96,0.0
10,50,70,2.0,4.0,1.5,5.0,3.0,96,0.0
10,50,70,2.0,4.0,1.5,8.0,2.5,72,0.0
10,50,70,2.0,4.0,2.0,5.0,3.0,96,0.0
10,50,70,2.5,2.0,1.5,5.0,2.5,96,260.1383772185356
10,50,70,2.5,2.0,2.5,6.0,4.0,72,1403.3464882164994
10,50,70,2.5,3.0,2.0,6.0,2.5,48,0.0
10,50,70,2.5,3.0,2.0,8.0,2.5,96,208.52591116493747
10,50,70,3.0,2.0,1.5,8.0,2.5,72,212.21801978854808
10,50,70,3.0,3.0,2.0,5.0,2.5,96,208.06702619171276
10,50,75,2.0,4.0,2.5,5.0,3.0,96,0.0
10,50,75,2.5,2.0,1.5,5.0,3.0,72,239.99859346573132
10,50,75,2.5,2.0,1.5,8.0,3.0,96,402.44773570424
10,50,75,2.5,2.0,2.0,5.0,4.0,96,1939.596698896965
10,50,75,2.5,4.0,1.5,6.0,3.0,72,232.85050864078883
10,50,75,2.5,4.0,2.0,8.0,3.0,96,185.02796996439415
10,50,75,2.5,4.0,2.5,6.0,4.0,48,0.0
10,50,75,3.0,2.0,2.5,5.0,4.0,72,1088.9133624758051
10,50,75,3.0,3.0,2.0,8.0,2.5,96,164.60114258397985
10,50,75,3.0,4.0,1.5,5.0,2.5,96,241.2991007412623
10,50,75,3.0,4.0,1.5,6.0,2.5,48,125.60561646247618
10,50,75,3.0,4.0,1.5,8.0,2.5,72,206.6707487569478
10,50,80,2.0,2.0,1.5,6.0,4.0,72,0.0
10,50,80,2.0,2.0,1.5,8.0,4.0,48,0.0
10,50,80,2.0,4.0,2.0,8.0,2.5,96,0.0
10,50,80,2.5,2.0,1.5,6.0,4.0,72,186.703011974011
10,50,80,2.5,3.0,1.5,5.0,2.5,72,226.2778294032261
10,50,80,2.5,3.0,2.0,6.0,2.5,72,0.0
10,50,80,2.5,4.0,1.5,5.0,4.0,48,0.0
10,50,80,2.5,4.0,2.0,5.0,3.0,96,271.8476202438779
10,50,80,3.0,2.0,1.5,8.0,4.0,48,0.0
10,50,80,3.0,2.0,2.0,5.0,2.5,96,204.09778786912005
10,50,80,3.0,3.0,1.5,6.0,3.0,72,0.0
10,50,80,3.0,3.0,2.0,6.0,4.0,96,1104.6513182111246
10,50,80,3.0,3.0,2.5,5.0,3.0,96,0.0
10,50,80,3.0,4.0,1.5,6.0,3.0,96,228.67217326430972
10,55,70,2.0,2.0,2.0,5.0,3.0,72,229.2473280356162
10,55,70,2.0,4.0,1.5,8.0,2.5,96,0.0
10,55,70,2.0,4.0,2.0,8.0,2.5,48,0.0
10,55,70,2.5,2.0,1.5,5.0,2.5,96,288.7970423792344
10,55,70,2.5,2.0,2.0,5.0,2.5,48,0.0
10,55,70,2.5,2.0,2.0,5.0,3.0,48,0.0
10,55,70,2.5,4.0,1.5,5.0,2.5,48,0.0
10,55,70,3.0,2.0,2.0,8.0,4.0,72,223.08217895044183
10,55,70,3.0,3.0,2.0,6.0,3.0,48,0.0
10,55,70,3.0,3.0,2.0,8.0,3.0,72,106.85430289205722
10,55,70,3.0,3.0,2.0,8.0,4.0,96,138.62360704450413
10,55,70,3.0,3.0,2.5,5.0,3.0,96,0.0
10,55,70,3.0,4.0,1.5,6.0,4.0,72,0.0
10,55,70,3.0,4.0,1.5,8.0,4.0,48,0.0
10,55,70,3.0,4.0,2.0,6.0,4.0,48,0.0
10,55,70,3.0,4.0,2.0,8.0,3.0,72,0.0
10,55,75,2.0,2.0,1.5,5.0,4.0,72,1119.8924018003459
10,55,75,2.0,2.0,1.5,6.0,2.5,96,220.39090092126065
10,55,75,2.0,2.0,2.0,8.0,3.0,96,206.8553358328062
