,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(15),Exit_calculate…(15),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14)
0,2,1786,1876,40309.99,41815.0,,,2845.770020000004,164.24998,0.035298570155933996,2022-03-16 09:00:00,2022-03-20 03:00:00,3 days 18:00:00,,39655.55073446563,41942.45302730128,39450.343749814114,40267.30447650754,39984.248477351204,40231.24122604829,698.0978571428568,293.1114285714294
1,2,2652,2660,42254.13,41462.1,,,-1751.4924599999977,167.43246,-0.020725695452728468,2022-04-21 11:00:00,2022-04-21 19:00:00,0 days 08:00:00,,41797.66032055394,41829.2500627452,41369.96460133351,41402.541992301994,42130.99563891619,42128.44699642021,292.7550000000005,382.71142857142905
2,4,4759,4771,21862.0,21876.3,,,-117.75320000000292,174.9532,-0.0013465510932211574,2022-07-18 06:00:00,2022-07-18 18:00:00,0 days 12:00:00,,21336.483509663696,21989.492736733446,20657.137169762103,20775.234330537827,21806.060401226867,21817.53315310123,279.591428571429,383.7385714285717
3,4,4777,4819,22432.58,23515.48,,,4147.8077599999915,183.79224,0.04622526432536962,2022-07-19 00:00:00,2022-07-20 18:00:00,1 days 18:00:00,,21975.85599282819,23663.042013748407,20819.101007652564,21372.376632004696,21818.63711387462,21941.478801888134,439.40000000000043,355.53428571428594
4,4,5191,5291,23189.77,23472.62,,,944.7504399999941,186.64956,0.010184991485469511,2022-08-05 06:00:00,2022-08-09 10:00:00,4 days 04:00:00,,22944.77204163506,23743.203666367415,22895.976298730417,23145.333775107294,22548.064470934045,22730.863084936776,178.00500000000025,162.95499999999967
5,5,6665,6682,20001.7,20142.3,,,502.2799999999927,200.72,0.005022373098286531,2022-10-05 16:00:00,2022-10-06 09:00:00,0 days 17:00:00,,20083.037820216094,20199.69049027073,19527.27115770329,19600.344292088364,19898.069937107488,19910.9976490148,158.817142857143,145.90357142857178
6,5,6878,6881,19802.96,19358.59,,,-2417.657749999995,195.80775,-0.02441713511515441,2022-10-14 13:00:00,2022-10-14 16:00:00,0 days 03:00:00,,19620.056878282143,19536.842850099172,19405.483496019806,19404.872846918857,19701.75173247285,19699.30926472652,169.98428571428536,164.06357142857112
7,5,6968,6976,19643.55,19415.77,,,-1334.1965999999943,195.2966,-0.013584068052872234,2022-10-18 07:00:00,2022-10-18 15:00:00,0 days 08:00:00,,19549.945725010024,19517.182951478575,19352.868280147435,19361.256492399087,19615.770877390187,19613.77139550421,93.9571428571427,115.95714285714295
8,5,7144,7198,19490.04,20395.8,,,4329.370799999992,199.4292,0.04442649476347914,2022-10-25 15:00:00,2022-10-27 21:00:00,2 days 06:00:00,,19404.782727701215,20570.11701579947,19283.90958741471,19663.4624188055,19482.65042280083,19614.906197901462,87.69928571428474,167.53928571428645
9,6,8901,9106,16940.41,20617.93,,,21839.76996,225.35004,0.21486856929672896,2023-01-06 20:00:00,2023-01-15 09:00:00,8 days 13:00:00,,16831.850596845277,20736.93467812563,16748.631692586743,18167.781924620558,16897.64523676802,17472.142399165932,66.57357142857134,151.45071428571464
