,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(15),Exit_calculate…(15),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(60),Exit_calculate…(60)
0,2,1786,1826,40309.99,40335.84,,,-109.59166000000289,161.29165999999998,-0.0013593610417665966,2022-03-16 09:00:00,2022-03-18 01:00:00,1 days 16:00:00,,39655.55073446563,40772.444260354365,39450.343749814114,39767.37229276486,39984.248477351204,40062.062756133004,698.0978571428568,303.60428571428565,37555.0,38660.0
1,2,2652,2661,42254.13,41218.82,,,-2237.5658999999955,166.9459,-0.026477481609490004,2022-04-21 11:00:00,2022-04-21 20:00:00,0 days 09:00:00,,41797.66032055394,41676.750054902055,41369.96460133351,41397.27094916378,42130.99563891619,42124.65374549281,292.7550000000005,424.6621428571431,40571.0,40541.56
2,4,4759,4769,21862.0,22675.83,,,3077.168680000007,178.15132,0.035188554112158064,2022-07-18 06:00:00,2022-07-18 16:00:00,0 days 10:00:00,,21336.483509663696,22031.0105132845,20657.137169762103,20760.736907876395,21806.060401226867,21817.343586997675,279.591428571429,364.80285714285753,20478.61,20478.61
3,4,4777,4799,22432.58,23650.26,,,4686.3886399999865,184.33136000000002,0.05222748163608461,2022-07-19 00:00:00,2022-07-19 22:00:00,0 days 22:00:00,,21975.85599282819,22962.82697503997,20819.101007652564,21055.00877702298,21818.63711387462,21856.822420708664,439.40000000000043,390.8607142857142,20681.6,20750.01
4,4,5191,5264,23189.77,23729.49,,,1971.2029600000046,187.67704,0.02125078170244897,2022-08-05 06:00:00,2022-08-08 07:00:00,3 days 01:00:00,,22944.77204163506,23373.117929184427,22895.976298730417,22997.322228988083,22548.064470934045,22649.15005290602,178.00500000000025,145.36642857142866,22400.0,22839.27
5,5,6665,6713,20001.7,19577.34,,,-2319.695200000003,197.8952,-0.023194980426663712,2022-10-05 16:00:00,2022-10-07 16:00:00,2 days 00:00:00,,20083.037820216094,19775.901485929367,19527.27115770329,19662.832744603103,19898.069937107488,19913.21276588669,158.817142857143,155.45357142857185,19059.68,19320.0
6,5,6878,6882,19802.96,19303.26,,,-2694.031100000004,195.53109999999998,-0.027208367839959342,2022-10-14 13:00:00,2022-10-14 17:00:00,0 days 04:00:00,,19620.056878282143,19515.091243836774,19405.483496019806,19404.593492454278,19701.75173247285,19698.46911674967,169.98428571428536,163.99142857142812,18190.0,18190.0
7,4,6968,6980,19643.55,19220.87,,,-1846.1776800000011,155.45767999999998,-0.02349597806913725,2022-10-18 07:00:00,2022-10-18 19:00:00,0 days 12:00:00,,19549.945725010024,19427.752430786142,19352.868280147435,19359.99313490703,19615.770877390187,19610.78512225219,93.9571428571427,134.44000000000025,18975.18,19087.37
8,4,7144,7145,19490.04,19748.48,,,876.8059199999948,156.95408,0.011246846081382994,2022-10-25 15:00:00,2022-10-25 16:00:00,0 days 01:00:00,,19404.782727701215,19455.889886738565,19283.90958741471,19287.42939082059,19482.65042280083,19483.476863692715,87.69928571428474,93.58571428571356,19070.11,19070.11
9,5,8901,8946,16940.41,16936.87,,,-187.08640000000435,169.38639999999998,-0.0022087588198869772,2023-01-06 20:00:00,2023-01-08 17:00:00,1 days 21:00:00,,16831.850596845277,16942.454880546247,16748.631692586743,16798.04328756113,16897.64523676802,16902.072477479123,66.57357142857134,29.920714285714503,16679.0,16679.0
