fast_ema,slow_ema,rsi_entry_max,rsi_entry_min,atr_sl_mult,be_trigger_atr,swing_lookback,0
10,200,60,30,3.5,2.0,40,0.0
10,200,60,30,3.5,3.0,80,0.0
10,200,60,40,4.0,2.0,40,0.0
10,200,65,30,2.0,1.5,60,0.0
10,200,65,30,2.0,2.0,80,0.0
10,200,65,30,3.0,3.0,80,0.0
10,200,65,35,3.5,1.5,80,0.0
10,200,65,40,3.0,2.5,60,0.0
10,200,70,30,2.0,1.5,50,0.0
10,200,70,35,2.5,3.0,50,0.0
10,200,70,35,3.0,3.0,80,0.0
10,200,70,50,2.0,3.0,60,0.0
10,200,70,50,3.5,2.5,50,0.0
10,200,75,40,4.0,1.5,50,0.0
10,200,75,45,3.0,2.5,80,0.0
10,200,75,45,4.0,2.5,40,0.0
10,200,75,50,2.5,2.0,80,0.0
10,200,75,50,3.5,2.5,60,0.0
10,200,75,50,4.0,1.5,40,0.0
10,200,80,35,2.0,2.0,40,0.0
10,200,80,40,2.0,2.0,80,0.0
10,200,80,40,2.0,3.0,60,0.0
10,200,80,40,3.5,1.5,80,0.0
10,200,80,45,2.5,2.0,60,0.0
10,200,80,45,2.5,2.5,80,0.0
10,200,80,50,3.5,2.0,80,0.0
10,250,60,30,2.0,3.0,80,0.0
10,250,60,30,3.0,2.0,50,0.0
10,250,60,30,4.0,1.5,60,0.0
10,250,65,30,3.5,2.5,80,0.0
10,250,65,35,3.0,3.0,50,0.0
10,250,65,35,4.0,3.0,60,0.0
10,250,65,45,4.0,1.5,50,0.0
10,250,70,30,4.0,3.0,40,0.0
10,250,70,35,4.0,2.0,40,0.0
10,250,70,40,3.5,1.5,50,0.0
10,250,70,45,3.5,2.0,50,0.0
10,250,70,50,2.0,2.0,50,0.0
10,250,70,50,2.0,2.5,40,0.0
10,250,70,50,2.0,3.0,80,0.0
10,250,70,50,2.5,3.0,60,0.0
10,250,70,50,3.0,2.5,50,0.0
10,250,70,50,4.0,2.0,60,0.0
10,250,75,35,4.0,2.0,40,0.0
10,250,75,40,3.0,2.0,50,0.0
10,250,75,45,2.5,3.0,80,0.0
10,250,75,45,3.5,2.0,40,0.0
10,250,75,45,4.0,2.0,60,0.0
10,250,75,50,3.5,2.0,50,0.0
10,250,80,30,4.0,2.5,40,0.0
10,250,80,30,4.0,3.0,80,0.0
10,250,80,35,2.0,2.5,40,0.0
10,250,80,35,2.0,3.0,40,0.0
10,250,80,35,2.5,3.0,60,0.0
10,250,80,35,3.5,2.0,80,0.0
10,250,80,40,2.0,3.0,80,0.0
10,250,80,45,2.0,3.0,40,0.0
10,250,80,45,2.5,1.5,60,0.0
10,250,80,50,3.0,2.0,60,0.0
10,250,80,50,3.5,2.5,40,0.0
10,300,60,30,2.0,1.5,50,0.0
10,300,60,30,4.0,3.0,80,0.0
10,300,60,35,3.0,3.0,60,0.0
10,300,65,30,3.5,2.0,40,0.0
10,300,65,35,2.5,1.5,80,0.0
10,300,65,35,4.0,2.5,60,0.0
10,300,65,40,3.0,2.5,50,0.0
10,300,65,45,2.0,1.5,60,0.0
10,300,65,45,2.5,2.5,80,0.0
10,300,65,45,2.5,3.0,50,0.0
10,300,65,45,3.5,3.0,60,0.0
10,300,70,45,3.5,1.5,50,0.0
10,300,70,50,2.0,3.0,40,0.0
10,300,75,35,3.5,2.5,60,0.0
10,300,75,35,4.0,2.0,60,0.0
10,300,75,45,2.5,3.0,40,1560.0477095096871
10,300,75,45,4.0,2.0,50,0.0
10,300,75,50,3.0,1.5,40,0.0
10,300,75,50,3.0,2.5,80,0.0
10,300,75,50,3.5,3.0,50,3153.38522277559
10,300,80,30,4.0,3.0,50,0.0
10,300,80,40,3.0,2.0,40,0.0
10,300,80,45,2.0,1.5,50,0.0
10,300,80,45,2.5,2.0,40,0.0
10,300,80,45,2.5,3.0,60,0.0
10,300,80,45,3.0,1.5,50,0.0
10,300,80,45,3.0,2.5,40,0.0
10,300,80,50,2.0,1.5,60,0.0
10,350,60,30,3.0,1.5,40,0.0
10,350,60,30,3.0,1.5,60,0.0
10,350,60,30,4.0,3.0,40,0.0
10,350,60,35,2.5,2.0,50,0.0
10,350,60,35,2.5,2.5,40,0.0
10,350,60,40,2.0,2.0,50,0.0
10,350,65,40,3.0,2.5,50,0.0
10,350,65,40,3.5,1.5,60,0.0
10,350,65,45,2.0,2.0,50,0.0
10,350,70,30,3.5,2.5,60,0.0
10,350,70,35,2.0,3.0,40,0.0
10,350,70,35,3.0,3.0,40,756.367967261835
10,350,70,35,4.0,2.5,40,0.0
10,350,70,45,3.5,2.0,60,0.0
10,350,70,50,2.5,2.0,40,0.0
10,350,70,50,2.5,3.0,50,0.0
10,350,75,35,2.0,3.0,50,0.0
10,350,75,35,2.0,3.0,80,0.0
10,350,75,40,3.5,1.5,80,0.0
10,350,75,40,4.0,3.0,60,0.0
10,350,75,45,3.5,2.0,60,0.0
10,350,80,30,4.0,1.5,80,0.0
10,350,80,45,3.0,1.5,80,0.0
10,350,80,45,3.0,2.5,80,0.0
10,350,80,45,3.5,3.0,50,0.0
10,350,80,50,2.5,2.5,80,0.0
10,400,60,30,2.0,3.0,80,0.0
10,400,60,35,3.0,2.5,80,0.0
10,400,65,30,4.0,2.5,80,0.0
10,400,65,40,3.0,2.0,80,0.0
10,400,65,40,3.5,1.5,40,0.0
10,400,65,45,2.0,1.5,40,0.0
10,400,65,45,2.5,1.5,50,0.0
10,400,65,45,3.5,2.5,50,0.0
10,400,70,30,2.5,1.5,80,0.0
10,400,70,30,3.0,2.5,50,0.0
10,400,70,35,2.0,1.5,50,0.0
10,400,70,35,2.0,2.5,60,0.0
10,400,70,35,2.0,3.0,80,0.0
10,400,70,35,3.5,2.5,60,0.0
10,400,70,40,3.0,1.5,50,0.0
10,400,70,45,2.0,2.5,40,0.0
10,400,70,50,2.5,3.0,40,0.0
10,400,70,50,3.0,1.5,60,0.0
10,400,75,30,3.0,2.5,60,0.0
10,400,75,40,2.5,2.5,50,0.0
10,400,75,40,3.0,2.5,50,0.0
10,400,75,40,3.5,2.0,60,0.0
10,400,75,45,2.0,3.0,50,0.0
10,400,75,50,4.0,2.5,50,0.0
10,400,80,35,3.5,1.5,80,0.0
10,400,80,35,4.0,3.0,40,0.0
10,400,80,45,3.5,2.0,50,0.0
10,400,80,45,3.5,2.0,60,0.0
10,400,80,50,2.0,2.5,50,0.0
15,200,60,30,2.5,2.0,50,0.0
15,200,60,30,2.5,3.0,80,0.0
15,200,60,30,3.0,2.5,50,0.0
15,200,60,40,3.5,3.0,50,0.0
15,200,60,40,4.0,2.5,60,0.0
15,200,65,30,2.0,1.5,50,0.0
15,200,65,40,2.0,2.0,40,0.0
15,200,65,45,3.0,2.5,50,0.0
15,200,70,30,3.0,1.5,50,0.0
15,200,70,40,2.5,3.0,80,0.0
15,200,70,40,3.5,1.5,40,0.0
15,200,70,45,3.0,3.0,80,0.0
15,200,75,30,2.5,3.0,80,0.0
15,200,75,30,4.0,3.0,50,0.0
15,200,75,35,2.5,1.5,40,0.0
15,200,75,35,2.5,2.5,80,0.0
15,200,75,35,2.5,3.0,50,0.0
15,200,75,35,3.5,1.5,40,0.0
15,200,75,35,4.0,2.5,50,0.0
15,200,75,40,4.0,1.5,80,0.0
15,200,75,45,2.5,1.5,80,0.0
15,200,75,45,3.5,1.5,50,0.0
15,200,75,50,2.0,1.5,60,0.0
15,200,80,30,2.0,2.0,40,0.0
15,200,80,30,3.0,3.0,40,0.0
15,200,80,30,3.5,1.5,60,0.0
15,200,80,40,2.0,3.0,60,0.0
15,200,80,45,2.5,2.0,40,0.0
15,200,80,45,4.0,1.5,80,0.0
15,200,80,50,3.5,2.0,60,0.0
15,250,65,35,3.5,3.0,80,0.0
15,250,65,35,4.0,1.5,50,0.0
15,250,65,35,4.0,2.0,60,0.0
15,250,65,40,4.0,1.5,80,0.0
15,250,70,30,3.0,2.0,50,0.0
15,250,70,30,3.5,1.5,60,0.0
15,250,70,30,3.5,3.0,50,773.1459671781315
15,250,70,35,2.5,1.5,50,0.0
15,250,70,40,2.5,2.5,80,0.0
15,250,70,50,2.0,2.5,40,0.0
15,250,70,50,3.0,1.5,60,0.0
15,250,75,40,3.5,1.5,80,0.0
15,250,75,45,2.0,1.5,40,0.0
15,250,75,45,2.0,3.0,50,0.0
15,250,75,45,3.0,3.0,50,776.7881066235935
15,250,75,50,3.0,2.5,60,0.0
15,250,80,40,2.5,2.0,80,0.0
15,250,80,40,2.5,3.0,50,0.0
15,250,80,40,3.0,1.5,80,0.0
15,250,80,40,3.0,2.5,40,0.0
15,250,80,45,3.0,2.0,40,0.0
15,250,80,45,3.5,3.0,60,0.0
15,300,60,30,2.5,3.0,50,0.0
15,300,60,30,4.0,2.0,80,0.0
15,300,60,40,2.0,2.5,50,0.0
15,300,60,40,3.5,2.5,60,0.0
15,300,65,35,3.5,1.5,40,0.0
15,300,65,40,4.0,1.5,40,0.0
15,300,65,40,4.0,3.0,60,0.0
15,300,65,45,4.0,3.0,80,0.0
15,300,70,40,2.5,1.5,60,0.0
15,300,70,45,3.5,2.5,60,0.0
15,300,70,50,3.5,2.0,40,0.0
15,300,70,50,4.0,3.0,40,2190.019421981725
15,300,75,30,2.0,1.5,80,0.0
15,300,75,30,2.0,2.5,60,0.0
15,300,75,30,2.5,2.0,60,0.0
15,300,75,40,3.5,2.0,50,0.0
15,300,75,45,3.5,2.0,50,0.0
15,300,75,45,4.0,1.5,50,0.0
15,300,75,50,2.0,2.5,60,0.0
15,300,80,30,2.5,2.5,80,0.0
15,300,80,35,4.0,3.0,40,0.0
15,300,80,35,4.0,3.0,60,0.0
15,300,80,40,4.0,3.0,50,0.0
15,300,80,45,4.0,1.5,50,0.0
15,300,80,45,4.0,3.0,80,1187.216971350014
15,300,80,50,2.0,3.0,40,0.0
15,350,60,40,3.0,2.0,60,0.0
15,350,65,30,4.0,3.0,50,0.0
15,350,65,40,4.0,3.0,60,0.0
15,350,70,30,2.0,1.5,50,0.0
15,350,70,30,2.5,2.5,80,0.0
15,350,70,30,3.5,2.0,40,0.0
15,350,70,35,4.0,2.0,80,0.0
15,350,70,40,2.5,2.0,80,0.0
15,350,70,45,2.5,1.5,40,0.0
15,350,70,45,3.0,2.5,80,0.0
15,350,70,50,2.0,1.5,80,0.0
15,350,70,50,3.5,2.5,80,0.0
15,350,75,30,3.5,2.0,60,0.0
15,350,75,35,4.0,1.5,80,0.0
15,350,75,40,3.0,3.0,40,1619.4050422570383
15,350,75,40,4.0,2.0,40,914.2978251083175
15,350,75,45,2.0,3.0,60,0.0
15,350,75,45,3.5,1.5,40,0.0
15,350,75,50,2.5,2.0,60,0.0
15,350,75,50,2.5,2.5,80,0.0
15,350,75,50,2.5,3.0,40,3114.832210526234
15,350,80,30,2.5,1.5,80,0.0
15,350,80,30,3.5,2.5,80,0.0
15,350,80,40,2.5,3.0,60,928.3576760772146
15,350,80,45,2.0,3.0,50,0.0
15,350,80,45,3.0,1.5,50,0.0
15,350,80,45,3.0,3.0,60,1098.3352095243056
15,350,80,50,3.5,2.0,80,0.0
15,400,60,30,4.0,2.0,50,0.0
15,400,60,35,2.0,1.5,50,0.0
15,400,60,35,2.5,2.0,60,0.0
15,400,60,40,3.5,2.5,50,0.0
15,400,65,30,2.5,1.5,40,0.0
15,400,65,30,4.0,1.5,80,0.0
15,400,65,35,2.0,2.5,50,0.0
15,400,65,35,4.0,2.5,50,0.0
15,400,65,35,4.0,3.0,50,0.0
15,400,65,40,4.0,2.0,80,0.0
15,400,65,45,3.5,1.5,40,0.0
15,400,70,35,4.0,1.5,40,0.0
15,400,70,50,2.5,1.5,50,0.0
