,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(10),Exit_calculate…(10),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(800),Exit_calculate…(800),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(50),Exit_calculate…(50)
0,2,1410,1416,41010.09,43026.45,,,3864.646920000001,168.07308,0.0471182448026815,2022-02-28 17:00:00,2022-02-28 23:00:00,0 days 06:00:00,,39664.157036830235,41502.86636290259,39205.968897797924,39317.63128051971,40182.33806088604,40210.12374705352,640.821428571427,799.9549999999987,37000.0,37000.0
1,2,1780,1900,40866.06,40804.84,,,-285.7818000000023,163.34179999999998,-0.0034965665885088835,2022-03-16 03:00:00,2022-03-21 03:00:00,5 days 00:00:00,,39528.20582626486,41174.798332065555,39438.423351377496,40441.08009549779,39987.955209107036,40302.2456658662,660.0842857142842,349.12785714285826,37975.4,40467.94
2,2,2652,2661,42254.13,41218.82,,,-2237.5658999999955,166.9459,-0.026477481609490004,2022-04-21 11:00:00,2022-04-21 20:00:00,0 days 09:00:00,,41902.39103303874,41581.373653159375,41369.96460133351,41397.27094916378,42130.99563891619,42124.65374549281,292.7550000000005,424.6621428571431,40636.74,40541.56
3,4,4759,4769,21862.0,22675.83,,,3077.168680000007,178.15132,0.035188554112158064,2022-07-18 06:00:00,2022-07-18 16:00:00,0 days 10:00:00,,21430.743737047265,22172.42450663154,20657.137169762103,20760.736907876395,21806.060401226867,21817.343586997675,279.591428571429,364.80285714285753,20478.61,20750.01
4,4,4777,4799,22432.58,23650.26,,,4686.3886399999865,184.33136000000002,0.05222748163608461,2022-07-19 00:00:00,2022-07-19 22:00:00,0 days 22:00:00,,22021.403415994737,23176.80205254035,20819.101007652564,21055.00877702298,21818.63711387462,21856.822420708664,439.40000000000043,390.8607142857142,20750.01,20750.01
5,4,5191,5264,23189.77,23729.49,,,1971.2029600000046,187.67704,0.02125078170244897,2022-08-05 06:00:00,2022-08-08 07:00:00,3 days 01:00:00,,23003.833488505683,23448.372059460824,22895.976298730417,22997.322228988083,22548.064470934045,22649.15005290602,178.00500000000025,145.36642857142866,22400.0,22844.62
6,4,5318,5342,23983.92,24862.02,,,3317.0162400000086,195.38376,0.034575418030080324,2022-08-10 13:00:00,2022-08-11 13:00:00,1 days 00:00:00,,23357.132558666442,24540.80538648535,23141.495519592005,23304.29262914461,22756.235887355168,22842.286037002686,236.2149999999999,246.9557142857146,22664.69,22664.69
7,5,6633,6675,19967.69,20369.86,,,1809.1622500000094,201.68775,0.0181208968087947,2022-10-04 08:00:00,2022-10-06 02:00:00,1 days 18:00:00,,19711.575773268632,20210.37608129002,19386.887465125863,19570.066816247574,19879.805047703227,19905.27971849909,142.37785714285616,195.2057142857149,18920.35,19490.6
8,5,6868,7010,19829.18,18972.69,,,-4476.459350000008,194.00934999999998,-0.045150221542191976,2022-10-14 03:00:00,2022-10-20 01:00:00,5 days 22:00:00,,19524.796605032938,19123.73290483724,19384.764375954892,19332.75720470335,19701.632303833943,19581.98350040807,217.70785714285714,119.06500000000025,18190.0,18900.0
9,5,7144,7145,19490.04,19748.48,,,1096.0073999999934,196.1926,0.011246846081382994,2022-10-25 15:00:00,2022-10-25 16:00:00,0 days 01:00:00,,19437.81960455591,19506.150585545744,19283.90958741471,19287.42939082059,19482.65042280083,19483.476863692715,87.69928571428474,93.58571428571356,19157.0,19157.0
