          EntryTime  Type  EntryPrice  ExitPrice  ReturnPct Result
2022-01-05 18:00:00 SHORT    46010.72   39110.89      14.81    WIN
2022-02-01 17:00:00  LONG    39110.89   37566.00      -4.15   LOSS
2022-02-02 21:00:00 SHORT    37566.00   40588.00      -8.25   LOSS
2022-02-04 21:00:00  LONG    40588.00   40625.62      -0.11   LOSS
2022-02-18 06:00:00 SHORT    40625.62   43026.45      -6.12   LOSS
2022-02-28 23:00:00  LONG    43026.45   39082.02      -9.36   LOSS
2022-03-05 09:00:00 SHORT    39082.02   42233.17      -8.27   LOSS
2022-03-09 17:00:00  LONG    42233.17   39141.29      -7.51   LOSS
2022-03-10 17:00:00 SHORT    39141.29   40611.67      -3.96   LOSS
2022-03-16 16:00:00  LONG    40611.67   43837.64       7.74    WIN
2022-04-06 19:00:00 SHORT    43837.64   42254.13       3.42    WIN
2022-04-21 11:00:00  LONG    42254.13   40427.23      -4.52   LOSS
2022-04-22 01:00:00 SHORT    40427.23   30706.85      23.87    WIN
2022-05-30 18:00:00  LONG    30706.85   29507.85      -4.10   LOSS
2022-06-03 18:00:00 SHORT    29507.85   31274.23      -6.19   LOSS
2022-06-06 07:00:00  LONG    31274.23   30114.38      -3.90   LOSS
2022-06-10 04:00:00 SHORT    30114.38   20539.87      31.63    WIN
2022-07-07 14:00:00  LONG    20539.87   19890.47      -3.36   LOSS
2022-07-12 02:00:00 SHORT    19890.47   21034.13      -5.96   LOSS
2022-07-15 19:00:00  LONG    21034.13   21128.52       0.25    WIN
2022-07-26 05:00:00 SHORT    21128.52   23067.86      -9.39   LOSS
2022-07-28 05:00:00  LONG    23067.86   23347.56       1.01    WIN
2022-08-17 23:00:00 SHORT    23347.56   21168.86       9.14    WIN
2022-09-09 19:00:00  LONG    21168.86   20202.83      -4.76   LOSS
2022-09-14 22:00:00 SHORT    20202.83   20270.88      -0.54   LOSS
2022-09-27 13:00:00  LONG    20270.88   18993.43      -6.50   LOSS
2022-09-27 22:00:00 SHORT    18993.43   19994.45      -5.48   LOSS
2022-09-30 15:00:00  LONG    19994.45   19331.95      -3.51   LOSS
2022-10-01 14:00:00 SHORT    19331.95   19610.39      -1.64   LOSS
2022-10-04 06:00:00  LONG    19610.39   19317.84      -1.69   LOSS
2022-10-08 22:00:00 SHORT    19317.84   19596.34      -1.64   LOSS
2022-10-18 01:00:00  LONG    19596.34   19268.16      -1.87   LOSS
2022-10-19 10:00:00 SHORT    19268.16   19518.14      -1.50   LOSS
2022-10-24 01:00:00  LONG    19518.14   19699.04       0.73    WIN
2022-11-08 12:00:00 SHORT    19699.04   16789.66      14.58    WIN
2022-11-30 18:00:00  LONG    16789.66   16705.54      -0.70   LOSS
2022-12-17 01:00:00 SHORT    16705.54   16864.51      -1.15   LOSS
2023-01-04 09:00:00  LONG    16864.51   22602.50      33.79    WIN
2023-02-09 06:00:00 SHORT    22602.50   24175.01      -7.16   LOSS
2023-02-15 22:00:00  LONG    24175.01   23119.86      -4.56   LOSS
2023-02-24 23:00:00 SHORT    23119.86   24277.25      -5.21   LOSS
2023-03-13 20:00:00  LONG    24277.25   28867.52      18.69    WIN
2023-04-20 05:00:00 SHORT    28867.52   28885.78      -0.26   LOSS
2023-04-27 04:00:00  LONG    28885.78   27678.09      -4.38   LOSS
2023-05-01 21:00:00 SHORT    27678.09   29089.26      -5.30   LOSS
2023-05-04 09:00:00  LONG    29089.26   28125.01      -3.51   LOSS
2023-05-08 05:00:00 SHORT    28125.01   27252.26       2.91    WIN
2023-05-28 17:00:00  LONG    27252.26   26891.74      -1.52   LOSS
2023-06-01 14:00:00 SHORT    26891.74   27176.75      -1.26   LOSS
2023-06-04 18:00:00  LONG    27176.75   26922.72      -1.13   LOSS
2023-06-05 03:00:00 SHORT    26922.72   26423.41       1.66    WIN
2023-06-17 18:00:00  LONG    26423.41   30118.06      13.77    WIN
2023-07-10 05:00:00 SHORT    30118.06   30528.99      -1.57   LOSS
2023-07-10 19:00:00  LONG    30528.99   30238.01      -1.15   LOSS
2023-07-16 06:00:00 SHORT    30238.01   29884.23       0.97    WIN
2023-08-08 20:00:00  LONG    29884.23   29181.73      -2.55   LOSS
2023-08-15 20:00:00 SHORT    29181.73   27552.63       5.39    WIN
2023-08-30 02:00:00  LONG    27552.63   26081.00      -5.54   LOSS
2023-09-01 04:00:00 SHORT    26081.00   26218.04      -0.73   LOSS
2023-09-13 21:00:00  LONG    26218.04   26248.16      -0.09   LOSS
2023-09-25 01:00:00 SHORT    26248.16   27160.14      -3.68   LOSS
2023-09-28 18:00:00  LONG    27160.14   27285.44       0.26    WIN
2023-10-11 10:00:00 SHORT    27285.44   27749.61      -1.90   LOSS
2023-10-16 12:00:00  LONG    27749.61   41267.87      48.47    WIN
2023-12-13 09:00:00 SHORT    41267.87   42734.01      -3.76   LOSS
2023-12-13 20:00:00  LONG    42734.01   41090.92      -4.04   LOSS
2023-12-18 04:00:00 SHORT    41090.92   43082.21      -5.05   LOSS
2023-12-19 04:00:00  LONG    43082.21   42353.80      -1.89   LOSS
2023-12-27 01:00:00 SHORT    42353.80   43323.81      -2.49   LOSS
2023-12-27 23:00:00  LONG    43323.81   42610.64      -1.84   LOSS
2023-12-28 20:00:00 SHORT    42610.64   44179.55      -3.89   LOSS
2024-01-02 00:00:00  LONG    44179.55   43170.01      -2.48   LOSS
2024-01-13 09:00:00 SHORT    43170.01   41990.85       2.53    WIN
2024-01-28 01:00:00  LONG    41990.85   66521.11      58.16    WIN
2024-03-17 09:00:00 SHORT    66521.11   68693.43      -3.47   LOSS
2024-03-18 06:00:00  LONG    68693.43   67388.28      -2.10   LOSS
2024-03-18 18:00:00 SHORT    67388.28   69792.06      -3.77   LOSS
2024-03-25 16:00:00  LONG    69792.06   65622.69      -6.17   LOSS
2024-04-02 12:00:00 SHORT    65622.69   69541.65      -6.18   LOSS
2024-04-07 02:00:00  LONG    69541.65   67160.55      -3.62   LOSS
2024-04-13 04:00:00 SHORT    67160.55   66331.16       1.04    WIN
2024-04-22 19:00:00  LONG    66331.16   64282.02      -3.29   LOSS
2024-05-08 22:00:00 SHORT    61485.95   64499.99      -5.11   LOSS
2024-04-25 04:00:00 SHORT    64282.02   64499.99      -0.54   LOSS
2024-05-15 15:00:00  LONG    64499.99   67700.01       4.76    WIN
2024-06-01 17:00:00 SHORT    67700.01   68142.18      -0.85   LOSS
2024-06-02 16:00:00  LONG    68142.18   67824.00      -0.67   LOSS
2024-06-03 01:00:00 SHORT    67824.00   68476.01      -1.16   LOSS
2024-06-03 02:00:00  LONG    68476.01   67691.99      -1.34   LOSS
2024-06-11 07:00:00 SHORT    67691.99   60062.01      11.08    WIN
2024-07-14 08:00:00  LONG    60062.01   64202.00       6.69    WIN
2024-08-01 02:00:00 SHORT    64202.00   61037.64       4.73    WIN
2024-08-11 11:00:00  LONG    61037.64   60350.00      -1.33   LOSS
2024-08-11 15:00:00 SHORT    60350.00   60716.01      -0.81   LOSS
2024-08-20 11:00:00  LONG    60716.01   59296.94      -2.53   LOSS
2024-08-20 22:00:00 SHORT    59296.94   60771.28      -2.69   LOSS
2024-08-21 19:00:00  LONG    60771.28   59757.00      -1.87   LOSS
2024-08-28 11:00:00 SHORT    59757.00   57948.00       2.83    WIN
2024-09-12 07:00:00  LONG    57948.00   60768.00       4.66    WIN
2024-10-01 23:00:00 SHORT    60768.00   63554.62      -4.79   LOSS
2024-10-07 09:00:00  LONG    63554.62   62154.00      -2.40   LOSS
2024-10-09 01:00:00 SHORT    62154.00   63064.06      -1.67   LOSS
2024-10-12 17:00:00  LONG    63064.06   68880.00       9.01    WIN
2024-11-03 23:00:00 SHORT    68880.00   71096.03      -3.42   LOSS
2024-11-06 01:00:00  LONG    71096.03   95752.02      34.45    WIN
2024-12-11 02:00:00 SHORT    95752.02   97689.57      -2.23   LOSS
2024-12-11 07:00:00  LONG    97689.57   97334.59      -0.56   LOSS
2024-12-11 08:00:00 SHORT    97334.59   98109.90      -1.00   LOSS
2024-12-11 09:00:00  LONG    98109.90   96319.99      -2.02   LOSS
2024-12-20 02:00:00 SHORT    96319.99   96539.49      -0.43   LOSS
2025-01-03 07:00:00  LONG    96539.49   94242.62      -2.58   LOSS
2025-01-08 19:00:00 SHORT    94242.62   97105.48      -3.24   LOSS
2025-01-15 07:00:00  LONG    97105.48   99744.00       2.51    WIN
2025-01-27 17:00:00 SHORT    99744.00  103492.07      -3.96   LOSS
2025-01-29 23:00:00  LONG   103492.07  101333.34      -2.28   LOSS
2025-02-01 21:00:00 SHORT   101333.34   98312.00       2.78    WIN
2025-02-21 02:00:00  LONG    98312.00   96387.36      -2.16   LOSS
2025-02-22 05:00:00 SHORT    96387.36   85827.27      10.77    WIN
2025-03-20 06:00:00  LONG    85827.27   84007.23      -2.32   LOSS
2025-03-22 15:00:00 SHORT    84007.23   85093.59      -1.49   LOSS
2025-03-23 14:00:00  LONG    85093.59   83851.39      -1.66   LOSS
2025-03-29 03:00:00 SHORT    83851.39   86286.03      -3.11   LOSS
2025-04-02 19:00:00  LONG    86286.03   83227.55      -3.74   LOSS
2025-04-03 01:00:00 SHORT    83227.55   82804.86       0.31    WIN
2025-04-12 03:00:00  LONG    82804.86  105177.34      26.79    WIN
2025-05-30 09:00:00 SHORT   105177.34  106289.99      -1.26   LOSS
2025-06-08 20:00:00  LONG   106289.99  105039.48      -1.38   LOSS
2025-06-13 12:00:00 SHORT   105039.48  108255.97      -3.27   LOSS
2025-06-16 19:00:00  LONG   108255.97  103814.00      -4.30   LOSS
2025-06-17 18:00:00 SHORT   103814.00  106474.58      -2.77   LOSS
2025-06-25 03:00:00  LONG   106474.58  116491.53       9.20    WIN
2025-07-25 19:00:00 SHORT   116491.53  117489.61      -1.06   LOSS
2025-07-26 04:00:00  LONG   117489.61  115427.27      -1.95   LOSS
2025-08-01 01:00:00 SHORT   115427.27  116700.00      -1.30   LOSS
2025-08-08 03:00:00  LONG   116700.00  117380.66       0.38    WIN
2025-08-17 00:00:00 SHORT   117380.66  118246.15      -0.94   LOSS
2025-08-17 16:00:00  LONG   118246.15  117834.55      -0.55   LOSS
2025-08-17 17:00:00 SHORT   117834.55  113084.16       3.84    WIN
2025-09-05 14:00:00  LONG   113084.16  110569.99      -2.42   LOSS
2025-09-05 15:00:00 SHORT   110569.99  111906.56      -1.41   LOSS
2025-09-08 14:00:00  LONG   111906.56  112336.62       0.18    WIN
2025-09-22 10:00:00 SHORT   112336.62  113904.00      -1.60   LOSS
2025-09-30 06:00:00  LONG   113904.00  112514.57      -1.42   LOSS
2025-10-11 01:00:00 SHORT   112514.57  111719.98       0.51    WIN
2025-10-25 19:00:00  LONG   111719.98  110105.75      -1.64   LOSS
2025-10-30 11:00:00 SHORT   110105.75   92362.50      15.93    WIN
2025-11-28 16:00:00  LONG    92362.50   90616.01      -2.09   LOSS
2025-11-29 13:00:00 SHORT    90616.01   91063.50      -0.69   LOSS
2025-11-29 16:00:00  LONG    91063.50   90421.21      -0.90   LOSS
2025-11-29 18:00:00 SHORT    90421.21   91008.68      -0.85   LOSS
2025-11-29 22:00:00  LONG    91008.68   87168.90      -4.41   LOSS
2025-12-01 02:00:00 SHORT    87168.90   93178.45      -7.10   LOSS
2025-12-03 10:00:00  LONG    93178.45   89277.14      -4.38   LOSS
2025-12-06 09:00:00 SHORT    89277.14   91968.29      -3.22   LOSS
2025-12-08 12:00:00  LONG    91968.29   89917.52      -2.43   LOSS
2025-12-09 05:00:00 SHORT    89917.52   92707.50      -3.31   LOSS
2025-12-09 16:00:00  LONG    92707.50   90330.36      -2.76   LOSS
2025-12-13 12:00:00 SHORT    90330.36   90126.44       0.03    WIN
2025-12-22 15:00:00  LONG    90126.44   87931.00      -2.63   LOSS
2025-12-23 05:00:00 SHORT    87931.00   89777.25      -2.30   LOSS
2025-12-29 07:00:00  LONG    89777.25   87387.70      -2.86   LOSS
2025-12-29 14:00:00 SHORT    87387.70   88463.10      -1.43   LOSS
2025-12-31 06:00:00  LONG    88463.10   87809.24      -0.94   LOSS
2026-01-01 01:00:00 SHORT    87809.24   88839.05      -1.37   LOSS
2026-01-02 00:00:00  LONG    88839.05   91177.99       2.43    WIN
