trend_ema,htf_ema,rsi_oversold,rsi_overbought,adx_threshold,atr_sl_mult,atr_tp_mult,time_stop_bars,0
100,400,25,60,20,1.5,1.5,24,0.0
100,400,25,60,20,1.5,2.5,8,0.0
100,400,25,60,25,1.0,2.5,18,0.0
100,400,25,60,25,1.0,3.0,18,0.0
100,400,25,60,25,1.5,1.5,12,0.0
100,400,25,60,30,2.0,2.5,8,0.0
100,400,25,65,25,1.0,2.5,18,0.0
100,400,25,65,30,1.0,1.5,8,0.0
100,400,25,70,15,1.5,2.0,24,0.0
100,400,25,70,15,2.0,2.0,24,0.0
100,400,25,70,20,1.5,1.5,12,0.0
100,400,25,70,25,1.5,1.5,8,0.0
100,400,25,70,30,2.0,2.0,18,0.0
100,400,25,70,30,2.0,3.0,8,0.0
100,400,25,75,15,1.0,3.0,24,0.0
100,400,25,75,15,2.0,3.0,8,0.0
100,400,25,75,15,2.0,3.0,18,0.0
100,400,25,75,25,1.5,2.5,24,0.0
100,400,25,75,30,1.0,3.0,8,0.0
100,400,25,75,30,1.0,3.0,18,0.0
100,400,25,75,30,1.5,1.5,24,0.0
100,400,30,60,15,2.0,2.5,8,0.0
100,400,30,60,20,1.5,2.0,18,0.0
100,400,30,60,20,2.0,2.0,24,0.0
100,400,30,60,25,1.0,1.5,8,0.0
100,400,30,60,25,1.0,2.5,18,0.0
100,400,30,65,20,1.0,1.5,24,0.0
100,400,30,65,20,2.0,3.0,18,0.0
100,400,30,65,25,1.0,2.0,12,0.0
100,400,30,65,30,1.0,2.0,24,0.0
100,400,30,70,15,1.5,1.5,18,0.0
100,400,30,70,15,1.5,2.5,12,0.0
100,400,30,70,15,2.0,3.0,8,0.0
100,400,30,70,30,1.0,3.0,18,0.0
100,400,30,75,20,1.0,1.5,8,0.0
100,400,30,75,25,1.5,2.0,8,0.0
100,400,30,75,25,2.0,3.0,18,0.0
100,400,30,75,30,1.5,3.0,18,0.0
100,400,35,60,15,1.0,1.5,12,0.0
100,400,35,60,15,1.0,2.5,12,0.0
100,400,35,60,15,2.0,2.5,12,0.0
100,400,35,60,20,1.0,2.5,12,0.0
100,400,35,60,25,1.5,2.5,24,0.0
100,400,35,65,15,2.0,2.5,18,0.0
100,400,35,65,15,2.0,2.5,24,0.0
100,400,35,65,20,1.0,3.0,8,0.0
100,400,35,65,25,2.0,2.0,8,0.0
100,400,35,65,25,2.0,3.0,12,0.0
100,400,35,65,30,1.5,2.5,24,0.0
100,400,35,70,15,2.0,3.0,18,0.0
100,400,35,70,20,1.0,3.0,12,0.0
100,400,35,70,20,2.0,2.0,12,0.0
100,400,35,70,20,2.0,3.0,12,0.0
100,400,35,70,25,1.5,2.0,12,0.0
100,400,35,70,25,1.5,3.0,18,0.0
100,400,35,70,30,1.5,3.0,24,0.0
100,400,35,70,30,2.0,2.0,12,0.0
100,400,35,75,15,1.0,3.0,18,0.0
100,400,35,75,15,1.5,2.5,18,0.0
100,400,35,75,20,1.5,2.0,24,0.0
100,400,35,75,25,1.0,2.5,18,0.0
100,400,35,75,25,1.0,2.5,24,0.0
100,400,35,75,25,1.5,2.0,8,0.0
100,400,35,75,30,1.0,2.0,24,0.0
100,400,35,75,30,2.0,2.0,24,0.0
100,400,40,60,15,1.0,2.5,18,0.0
100,400,40,60,20,1.0,2.5,18,0.0
100,400,40,65,15,1.0,1.5,12,0.0
