,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(100),Exit_calculate…(100),Entry_calculate…(400),Exit_calculate…(400),Entry_calculate…(14),Exit_calculate…(14),Entry_λ,Exit_λ,Entry_calculate…(20),Exit_calculate…(20)
0,-1,431,437,42369.92,41706.41,,,579.4336699999948,84.07633000000001,0.013675590371659824,2022-01-18 22:00:00,2022-01-19 04:00:00,0 days 06:00:00,,42476.79785567112,42436.594586598876,43370.09897043033,43333.37421782624,385.11428571428615,367.08928571428777,101.77281069431416,18.638705547988295,1258.316,1217.370434
1,-1,469,472,42129.45,42969.67,,,-925.3191200000011,85.09912,-0.021963712320004197,2022-01-20 12:00:00,2022-01-20 15:00:00,0 days 03:00:00,,42187.7968010306,42228.73286212785,43120.98236069253,43117.48469941464,218.5542857142869,283.58500000000015,24.046669937694794,131.98265110693475,910.9785439999999,1200.6635055
2,-1,538,548,35846.77,34956.28,,,819.686949999998,70.80305,0.022866410279085057,2022-01-23 09:00:00,2022-01-23 19:00:00,0 days 10:00:00,,38120.385263509044,37628.44229366289,41449.99118322553,41155.979511070705,525.9214285714291,449.6278571428572,203.40726517522882,-34.522206041950255,2289.6641465000002,1767.141246
3,-1,592,595,36299.99,37273.32,,,-1046.9033100000017,73.57330999999999,-0.0288403195152395,2022-01-25 15:00:00,2022-01-25 18:00:00,0 days 03:00:00,,36497.819958977605,36535.62126919804,40057.56812518832,40014.19820193864,478.39071428571384,516.2192857142846,-7.745253364303551,68.02611203757488,2281.8368455,2170.0529885
4,-1,817,824,37311.98,37990.02,,,-753.3419999999936,75.30199999999999,-0.020190351731534897,2022-02-04 00:00:00,2022-02-04 07:00:00,0 days 07:00:00,,37495.64088053025,37497.367659353295,38360.620429122515,38331.05193777867,395.1535714285715,331.54857142857094,108.1975696550661,142.71563186366433,1413.6301429999999,1478.3764740000001
5,2,880,885,41306.34,41717.93,,,657.1314600000076,166.04854,0.00795436560101925,2022-02-06 15:00:00,2022-02-06 20:00:00,0 days 05:00:00,,39959.49896815646,40117.16553927624,38975.83216115795,39041.02971489714,263.6164285714289,293.2778571428566,-60.33382405189704,-30.68590298396967,814.3286945,831.8893869999999
6,2,926,940,43458.92,43340.23,,,-410.9782999999901,173.5983,-0.004728353810909176,2022-02-08 13:00:00,2022-02-09 03:00:00,0 days 14:00:00,,42040.428762762436,42423.17699114829,39854.843384974476,40107.8256758441,561.7378571428552,552.9121428571432,-162.04767661828998,-40.577850631763404,2697.4857245,2631.5555695000003
7,2,976,978,44354.92,45382.86,,,1876.4044400000046,179.47556,0.021152156739320048,2022-02-10 15:00:00,2022-02-10 17:00:00,0 days 02:00:00,,43302.00694256114,43382.562806003494,40765.02456151685,40810.7113908374,588.3221428571425,633.0064285714283,36.268649347320135,105.2570028100645,2257.178351,2556.305698
8,2,1110,1119,43893.68,43637.96,,,-686.5032800000024,175.06328000000002,-0.007820069768586263,2022-02-16 05:00:00,2022-02-16 14:00:00,0 days 09:00:00,,43183.95297032907,43313.48183784238,41842.27242578507,41936.197341182786,298.1292857142861,272.4764285714279,-80.14104996712331,-95.57392158746255,1396.118419,1173.35484
9,2,1121,1125,43598.62,44219.99,,,1067.1027799999906,175.63722,0.012237804545189615,2022-02-16 16:00:00,2022-02-16 20:00:00,0 days 04:00:00,,43325.62797301178,43372.74514108387,41952.98189920237,41992.225429683735,286.0171428571422,325.2449999999995,-94.3321966209919,-7.066625931962623,1229.9341875,1269.0272995
