fast_length,slow_length,time_stop_bars,sl_be_trigger,Profit Factor
10,200,12,1.0,1.4889815095466388
10,200,12,1.5,1.43290911970843
10,200,12,2.0,1.4269190624187784
10,200,24,1.0,1.3507300485886482
10,200,24,1.5,1.2924776665325
10,200,24,2.0,1.2904799850137691
10,200,48,1.0,1.4344394938511311
10,200,48,1.5,1.36817954650974
10,200,48,2.0,1.3484082574565783
10,300,12,1.0,1.2374837105103986
10,300,12,1.5,1.182383853652458
10,300,12,2.0,1.1733853980789617
10,300,24,1.0,1.1824637724548772
10,300,24,1.5,1.5316499407098005
10,300,24,2.0,1.5495394660835393
10,300,48,1.0,1.1629440601730692
10,300,48,1.5,1.589956187646832
10,300,48,2.0,1.5353257938578826
10,400,12,1.0,0.9314035938761646
10,400,12,1.5,0.904757535157678
10,400,12,2.0,0.8820057372347784
10,400,24,1.0,0.861420734577863
10,400,24,1.5,1.3586106376969382
10,400,24,2.0,1.315986212289369
10,400,48,1.0,0.9084535332366064
10,400,48,1.5,1.4339779014474012
10,400,48,2.0,1.399695984078361
20,200,12,1.0,0.7957268343463079
20,200,12,1.5,0.8301290396610909
20,200,12,2.0,0.8424162328812611
20,200,24,1.0,0.7714978600282424
20,200,24,1.5,0.9997301935290631
20,200,24,2.0,1.0079475415613282
20,200,48,1.0,0.8133829072761555
20,200,48,1.5,0.9941031057085931
20,200,48,2.0,0.9887007785840183
20,300,12,1.0,1.9219694624015278
20,300,12,1.5,1.8785974310569595
20,300,12,2.0,1.805710056021268
20,300,24,1.0,1.786269899324829
20,300,24,1.5,1.7357560070364408
20,300,24,2.0,1.6082107846145184
20,300,48,1.0,1.776286134169994
20,300,48,1.5,1.7865812175577431
20,300,48,2.0,1.728983603887074
20,400,12,1.0,0.7624956985589025
20,400,12,1.5,0.7827066942693822
20,400,12,2.0,0.7690740273158048
20,400,24,1.0,0.7387378333038795
20,400,24,1.5,1.764912441671299
20,400,24,2.0,1.7280102692483275
20,400,48,1.0,0.8688076637796157
20,400,48,1.5,1.772310953879457
20,400,48,2.0,1.7540322683598513
30,200,12,1.0,1.0800331416532
30,200,12,1.5,1.1322811152311019
30,200,12,2.0,1.32119701486302
30,200,24,1.0,1.0526207712062743
30,200,24,1.5,1.1114078124375701
30,200,24,2.0,1.2384840366467007
30,200,48,1.0,1.1062159874487236
30,200,48,1.5,1.1273040215408852
30,200,48,2.0,1.27434007587856
30,300,12,1.0,1.079699951218277
30,300,12,1.5,1.5725418167664444
30,300,12,2.0,1.5328820021921823
30,300,24,1.0,1.1682481597176528
30,300,24,1.5,1.6688655508265229
30,300,24,2.0,1.6504047826488246
30,300,48,1.0,1.1707256189636666
30,300,48,1.5,1.7015304982014483
30,300,48,2.0,1.730898225831275
30,400,12,1.0,2.5535905950829396
30,400,12,1.5,2.5097648852817693
30,400,12,2.0,2.4801742762928134
30,400,24,1.0,2.5294486339049413
30,400,24,1.5,2.502585573757687
30,400,24,2.0,2.4299874952433007
30,400,48,1.0,2.549416409125629
30,400,48,1.5,2.504014045182624
30,400,48,2.0,2.4132557787941464
