,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(20),Exit_calculate…(20),Entry_calculate…(300),Exit_calculate…(300),Entry_calculate…(14),Exit_calculate…(14),Entry_calculate…(4800),Exit_calculate…(4800)
0,-1,76,111,46103.36,46440.0,,,-429.1833599999994,92.54336,-0.00930915577519719,2022-01-04 03:00:00,2022-01-05 14:00:00,1 days 11:00:00,,46481.90524687564,46455.39208855005,46515.30616099791,46499.86633691329,428.72857142857174,355.79357142857197,46241.2723479147,46244.173890998085
1,-1,306,335,43250.92,43296.29,,,-131.91721000000263,86.54721,-0.0030500440221850975,2022-01-13 17:00:00,2022-01-14 22:00:00,1 days 05:00:00,,43544.40421796474,42910.76762583689,43631.241443578525,43474.45779451582,393.3100000000003,417.4028571428571,45951.62361043485,45912.96322647363
2,-1,788,823,37486.41,37547.01,,,-135.63341999999855,75.03342,-0.003618202436562939,2022-02-02 19:00:00,2022-02-04 06:00:00,1 days 11:00:00,,38046.89537652909,37170.5796550508,38152.96695268565,37905.61705447033,317.3371428571419,330.42714285714254,44671.098758013635,44559.4208521173
3,-1,1150,1318,40878.68,38421.98,,,2377.399339999997,79.30066000000001,0.058157439036681136,2022-02-17 21:00:00,2022-02-24 21:00:00,7 days 00:00:00,,42303.5240034791,36559.56397242503,42465.153839136816,39523.26212379176,561.995714285716,794.047857142857,44338.95172892485,43943.0010225854
4,-1,1511,1531,39392.83,39430.0,,,-115.99282999999826,78.82283000000001,-0.0029445162990319363,2022-03-04 22:00:00,2022-03-05 18:00:00,0 days 20:00:00,,40744.93218540758,39369.99868396803,40935.17843515003,40704.03272378513,575.6935714285713,245.8635714285712,43715.95355839026,43677.47163911048
5,-1,1646,1669,39242.8,39894.08,,,-730.4168799999989,79.13688,-0.018612761576645778,2022-03-10 13:00:00,2022-03-11 12:00:00,0 days 23:00:00,,39988.73529893906,39259.8700579752,40098.97764446767,39963.1733210096,603.869999999998,472.5892857142847,43478.47596671665,43437.13537408794
6,-1,2666,2757,40427.23,40225.98,,,120.59679,80.65321,0.002983058448476426,2022-04-22 01:00:00,2022-04-25 20:00:00,3 days 19:00:00,,41227.62424892666,39329.2086593526,41368.14358188122,40545.74855554802,432.2271428571424,511.3364285714285,43142.59586839506,43011.2279278072
7,-1,2993,3237,36909.67,30457.88,,,6384.422449999997,67.36755,0.1729742490247135,2022-05-05 16:00:00,2022-05-15 20:00:00,10 days 04:00:00,,38873.35537001224,30106.69425328676,39146.631466913896,32637.040114421252,370.6807142857152,393.9107142857143,42622.962579955645,41595.40454859177
8,-1,3656,3674,29915.24,30401.53,,,-546.6067699999973,60.316770000000005,-0.018271849732778168,2022-06-02 07:00:00,2022-06-03 01:00:00,0 days 18:00:00,,30201.90314118302,30287.079816435016,30244.955363550693,30241.99953833887,272.86214285714334,274.79857142857145,39715.91964980045,39644.91439508053
9,-1,3686,3704,29531.35,29694.9,,,-222.7762500000029,59.22625,-0.0075437204868724975,2022-06-03 13:00:00,2022-06-04 07:00:00,0 days 18:00:00,,30145.378408778248,29731.944252652247,30238.046450092537,30169.14186302486,239.21714285714344,126.25999999999996,39597.795508277224,39523.294072417295
