,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ATR(df,14)","Exit_ATR(df,14)","Entry_SMA(C,800)","Exit_SMA(C,800)","Entry_ADX(df,14)","Exit_ADX(df,14)",Entry_λ(H),Exit_λ(H),Entry_λ(L),Exit_λ(L)
0,42,836,927,40727.92,42952.06571428572,42952.06571428572,,89899.56060000046,3514.5594,0.0525552429039205,2022-02-04 20:00:00,2022-02-08 15:00:00,3 days 19:00:00,,581.2157142857156,586.4478571428559,40483.7590375,40053.1884,61.46369416109575,24.18517303713636,40877.0,45492.0,36250.0,37290.2
1,66,1089,1118,43987.97,43328.99714285714,43328.99714285714,,-49255.128402857605,5762.919831428571,-0.016965770966146418,2022-02-15 09:00:00,2022-02-16 14:00:00,1 days 05:00:00,,363.94571428571413,272.4764285714279,40232.123125,40263.398375,32.40387067626046,18.499391790448016,44198.99,44751.4,41550.56,41550.56
2,-79,1209,1225,38166.84,39386.752857142856,39386.752857142856,,-102499.84955000016,6126.733835714285,-0.03399459976251633,2022-02-20 09:00:00,2022-02-21 01:00:00,0 days 16:00:00,,331.78499999999883,360.3185714285719,40062.2059875,39993.052975,37.818709240932904,51.46477965971063,44376.58,44168.64,38101.11,38000.0
3,-50,1236,1315,37576.1,37237.689999999995,37237.689999999995,,13179.810500000174,3740.6895,0.007014996500435158,2022-02-21 12:00:00,2022-02-24 19:00:00,3 days 07:00:00,,475.12142857142834,692.4471428571425,39947.717875,39678.400425,30.85326430060129,51.29524488619031,44022.36,39494.35,37348.49,34322.28
4,41,1408,1479,40824.96,42738.48285714285,42738.48285714285,,75028.33598571409,3426.101157142857,0.04482452436660595,2022-02-28 16:00:00,2022-03-03 15:00:00,2 days 23:00:00,,608.3635714285696,473.97285714285783,40034.142437500006,40617.3550625,44.40996262729768,28.894077131419078,40898.0,45400.0,35035.0,37000.0
5,-44,1509,1610,39469.36,39375.35428571429,39375.35428571429,,667.083999999868,3469.167428571429,0.00038412074581385593,2022-03-04 21:00:00,2022-03-09 02:00:00,4 days 05:00:00,,574.8392857142857,471.75642857142884,40746.790825000004,40871.752887500006,68.20625470536653,35.41164701294691,45400.0,39693.87,39061.53,37155.0
6,42,1612,1636,41217.73,40512.70142857143,40512.70142857143,,-33043.87811999998,3432.6781200000005,-0.019087878028633334,2022-03-09 04:00:00,2022-03-10 04:00:00,1 days 00:00:00,,588.8364285714285,528.5057142857129,40884.1756,40989.212325,37.66214092776312,39.66650163586754,41448.84,42594.06,37155.0,37155.0
7,-76,1727,1735,37720.93,39033.69571428571,39033.69571428571,,-105603.54583999993,5833.351554285715,-0.036836852643877066,2022-03-13 23:00:00,2022-03-14 07:00:00,0 days 08:00:00,,333.22642857142847,391.4778571428573,40605.7843,40553.676699999996,32.438374367736216,30.54909125200523,42320.0,40928.34,37588.0,37555.0
8,45,1779,1887,40866.06,41297.99428571429,41297.99428571429,,15739.660414285954,3697.3824428571434,0.008558941856116702,2022-03-16 03:00:00,2022-03-20 15:00:00,4 days 12:00:00,,660.0842857142842,230.07071428571518,40274.1098,40076.6052,41.90533773927144,39.1112341970227,41718.0,42400.0,37555.0,39311.53
9,71,1983,2113,43582.11,46799.35428571429,46799.35428571429,,222007.2603214288,6417.083964285715,0.07174647628186358,2022-03-24 15:00:00,2022-03-30 01:00:00,5 days 10:00:00,,357.45999999999964,394.07999999999913,40032.625812499995,41262.4209125,47.80464441175449,14.81207492609701,43595.01,48189.84,40467.94,44071.97
